"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.00166552166073323,0.000444314749350806,3.7485176064192,0.000334676005969852
"airTemp",5.26130225262477e-06,5.58455420868181e-06,0.942116784262832,0.348969193263008
"log.age",5.45499441816153e-05,2.41015976002291e-05,2.26333312365553,0.0263245856513472
"mean.depth",1.62918157141569e-06,7.53044573263533e-07,2.16345967989009,0.0334901366792456
"log.DIP",-6.76538646123083e-05,2.71214562114867e-05,-2.49447758574464,0.0146740512537436
"log.precip",-0.000130549846871676,6.78073947478804e-05,-1.92530397837998,0.0577451009744017
"BorealV",-0.000161570492031988,8.61469473260648e-05,-1.8755219662102,0.0643691558821776
"TropicalV",-0.000145207857486661,0.000107681423084066,-1.34849497088554,0.181304566341331
